Family,File,Nodes,Algorithm,AvgTime_ms
Square-n,Square-n.21.0.gr,2096704,radixheap-single,790.57
Square-n,Square-n.21.0.gr,2096704,radixheap-random,779.35
Square-n,Square-n.21.0.gr,2096704,dial-single,7011.17
Square-n,Square-n.21.0.gr,2096704,dial-random,6083.82
Square-C,Square-C.0.0.gr,1048576,dijkstra-single,388.82
Square-C,Square-C.0.0.gr,1048576,dijkstra-random,385.14
Square-C,Square-C.0.0.gr,1048576,radixheap-single,165.33
Square-C,Square-C.0.0.gr,1048576,radixheap-random,156.26
Square-C,Square-C.0.0.gr,1048576,dial-single,144.78
Square-C,Square-C.0.0.gr,1048576,dial-random,142.12
Square-C,Square-C.1.0.gr,1048576,dijkstra-single,329.26
Square-C,Square-C.1.0.gr,1048576,dijkstra-random,320.22
Square-C,Square-C.1.0.gr,1048576,radixheap-single,151.27
Square-C,Square-C.1.0.gr,1048576,radixheap-random,145.36
Square-C,Square-C.1.0.gr,1048576,dial-single,144.4
Square-C,Square-C.1.0.gr,1048576,dial-random,135.38
Square-C,Square-C.2.0.gr,1048576,dijkstra-single,344.01
Square-C,Square-C.2.0.gr,1048576,dijkstra-random,339.57
Square-C,Square-C.2.0.gr,1048576,radixheap-single,175.14
Square-C,Square-C.2.0.gr,1048576,radixheap-random,158.34
Square-C,Square-C.2.0.gr,1048576,dial-single,159.34
Square-C,Square-C.2.0.gr,1048576,dial-random,142.35
Square-C,Square-C.3.0.gr,1048576,dijkstra-single,356.0
Square-C,Square-C.3.0.gr,1048576,dijkstra-random,331.41
